student_id,attendance,internal_marks,assignment_performance,study_hours
STU068,46.0,29.8,46.7,2.9
STU069,92.4,77.5,88.1,6.5
STU070,45.8,49.1,43.2,1.8
STU071,71.3,72.7,85.2,5.5
STU072,69.8,65.7,48.7,3.4
STU073,58.3,68.2,50.8,3.7
STU074,45.8,31.2,49.1,2.6
STU075,71.1,87.3,90.8,5.9
STU076,86.4,88.0,74.9,5.7
STU077,61.4,77.5,54.6,4.2
STU078,86.2,74.7,88.5,6.5
STU079,90.8,76.3,89.1,6.0
STU080,81.2,80.7,82.2,5.8
STU081,45.0,46.0,55.5,1.4
STU082,82.7,75.7,67.5,3.7
STU083,36.7,41.6,35.5,1.6
STU084,84.5,72.1,84.5,7.0
STU085,91.5,94.4,90.1,5.4
STU086,72.0,71.6,48.4,4.0
STU087,41.8,53.0,71.3,2.8
STU088,58.2,41.4,52.0,2.2
STU089,63.8,64.1,79.4,5.1
STU090,73.0,63.2,81.9,2.5
STU091,30.0,39.6,45.2,2.2
STU092,98.0,81.8,90.9,4.9
STU093,70.5,50.2,67.7,4.1
STU094,60.8,59.2,65.9,2.6
STU095,39.1,43.1,49.9,2.2
STU096,30.0,21.2,38.9,2.2
STU097,72.8,56.0,55.4,5.7
STU098,72.7,78.0,100.0,5.5
STU099,90.8,80.5,85.4,5.2
STU100,69.5,51.6,61.2,4.6
STU101,73.5,49.0,57.4,4.3
STU102,71.3,73.8,56.2,2.8
STU103,81.7,77.8,82.0,7.4
STU104,83.0,69.6,63.0,3.9
STU105,77.3,51.3,58.5,2.4
STU106,81.8,74.1,88.1,5.9
STU107,80.3,61.7,70.4,3.3
STU108,70.6,45.0,66.0,3.6
STU109,83.4,75.5,91.7,5.0
STU110,83.4,78.0,87.3,5.7
STU111,75.6,56.7,68.7,4.0
STU112,90.2,88.3,86.9,6.1
STU113,73.0,67.1,73.8,3.7
STU114,79.1,75.7,77.8,6.7
STU115,56.7,59.0,30.9,1.2
STU116,56.4,52.4,59.1,3.6
STU117,96.0,83.9,78.8,6.7
STU118,66.3,44.4,56.7,3.3
STU119,62.3,72.6,65.5,4.7
STU120,67.8,77.0,59.2,4.8
STU121,67.9,78.3,70.0,3.8
STU122,89.3,85.8,89.2,6.7
STU123,85.2,56.7,58.5,6.0
STU124,49.6,51.2,61.7,2.2
STU125,75.1,80.1,100.0,6.6
STU126,95.8,84.8,85.7,6.9
STU127,87.3,88.5,80.1,6.7
STU128,46.8,40.2,55.1,2.6
STU129,82.3,82.5,93.1,5.6
STU130,85.6,96.9,67.8,6.5
STU131,48.9,48.1,37.7,2.8
STU132,81.8,82.8,76.9,5.0
STU133,61.5,50.0,59.2,4.2
STU134,36.0,46.9,52.4,2.1
STU135,77.3,69.1,89.5,6.6
STU136,48.5,38.9,49.7,1.3
STU137,71.2,61.1,70.7,5.1
STU138,81.6,83.8,100.0,5.3
STU139,61.9,60.9,40.3,5.3
STU140,74.3,60.6,54.2,3.2
STU141,64.2,59.5,60.9,2.7
STU142,87.4,82.8,88.1,6.2
STU143,51.0,55.0,70.3,5.5
STU144,84.7,76.6,84.4,6.7
STU145,31.4,41.0,31.5,2.3
STU146,92.0,71.4,75.4,5.5
STU147,43.4,36.8,26.6,2.3
STU148,63.2,62.4,53.7,4.4
STU149,89.5,93.8,93.3,6.4
STU150,90.7,84.1,80.2,6.0
STU151,79.6,52.1,64.3,4.2
STU152,84.7,62.5,67.0,3.7
STU153,62.0,43.5,46.8,2.6
STU154,47.8,29.5,54.8,2.1
STU155,88.8,86.1,78.0,6.3
STU156,72.2,65.8,48.3,4.6
STU157,68.6,47.9,55.3,2.6
STU158,83.7,92.5,69.1,5.6
STU159,80.8,84.1,77.2,5.6
STU160,80.0,99.5,76.5,4.4
STU161,42.3,26.4,50.2,2.5
STU162,67.1,41.3,58.4,4.7
STU163,66.8,54.5,70.4,2.2
STU164,77.9,73.2,60.8,3.0
STU165,87.2,84.1,95.6,5.4
STU166,48.1,45.3,47.6,1.8
STU167,86.7,76.4,83.4,7.7
STU168,78.8,65.1,60.7,4.1
STU169,77.6,100.0,74.0,6.0
STU170,39.1,48.2,28.0,2.8
STU171,92.2,74.6,81.5,6.3
STU172,64.8,68.7,47.0,5.5
STU173,43.7,27.9,45.3,2.6
STU174,53.6,46.4,37.2,3.3
STU175,81.1,70.3,90.6,5.6
STU176,45.3,49.2,48.1,1.9
STU177,61.3,81.6,73.4,3.4
STU178,57.4,46.8,76.7,3.9
STU179,68.6,46.7,65.8,4.3
STU180,95.7,77.9,77.4,6.7
STU181,61.4,61.4,72.5,4.3
STU182,72.9,78.9,86.2,4.8
STU183,75.7,91.1,84.5,6.1
STU184,45.3,36.6,35.2,2.4
STU185,47.7,35.0,38.8,2.4
STU186,47.6,38.3,48.5,3.3
STU187,62.8,38.4,47.0,2.6
STU188,86.5,81.7,76.9,6.2
STU189,68.2,61.4,71.4,4.5
STU190,65.4,63.2,63.1,4.6
STU191,74.7,86.7,73.0,7.7
STU192,60.0,59.5,37.4,2.5
STU193,56.7,68.9,56.4,3.3
STU194,71.9,39.0,63.4,5.2
STU195,67.1,92.8,68.9,3.0
STU196,71.6,79.4,86.7,6.8
STU197,77.9,84.4,84.1,7.0
STU198,70.0,59.5,51.0,4.5
STU199,46.0,29.2,46.9,2.7
STU200,69.2,59.8,57.0,3.6
